,Camera.Deployment.ID,Other Treatment,Other Treatment Description,Users,Groups Audience,Feature,Feature.Methodology,Bait,Bait.Description,Proposed Latitude,Proposed Longitude,Proposed Date Out,Proposed Retrieval Date,Image Resolution Setting,Quiet Period Settingold,Sensitivity Settingold,Subproject Node ID,Group Content Visibility,Status,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Elevation,Actual.Latitude,Actual.Longitude,Camera.Deployment.Begin.Date,Camera Deployment Begin Time,Camera.ID,Camera.Deployment.End.Date,Vegetation Type,Quiet.Period.Setting,Sensitivity.Setting,Camera.Site.Name,Camera.Failure.Details
36,L-WL14-P09B,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,,,,,,,2776.0,32.97291946,104.10743000000001,,11:10,R-11,,Coniferous-Deciduous Forest,,high,L-WL14-P09B,Camera Functioning
37,L-WL14-P12A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,,,,,,,2888.0,32.94166183,104.10883000000001,,12:32,WL-001,,Coniferous Forest,,high,L-WL14-P12A,Camera Functioning
38,L-WL14-P12B,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,,,,,,,3196.0,32.94889069,104.10873000000001,,,WL-009,,Coniferous Forest,,high,L-WL14-P12B,Camera Functioning
39,L-WL14-Q10A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,,,,,,,2550.0,32.96522141,104.11711,,,WL-013?,,Coniferous-Deciduous Forest,,high,L-WL14-Q10A,Camera Functioning
40,L-WL14-Q11A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,,,,,,,2595.0,32.95616913,104.11797,,13:00,WL-010,,Deciduous Forest,,high,L-WL14-Q11A,Camera Functioning
41,L-WL14-Q12A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,,,,,,,2725.0,32.94163895,104.11766,,11:12,WL-026,,Coniferous-Deciduous Forest,,high,L-WL14-Q12A,Camera Functioning
42,L-WL14-Q12B,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,,,,,,,3000.0,32.94715118,104.11291,,12:00,WL-019,,Shrub,,high,L-WL14-Q12B,Camera Functioning
43,L-WL14-R10A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,,,,,,,2824.0,32.96546173,104.12467,,10:55,WL-022,,Coniferous-Deciduous Forest,,high,L-WL14-R10A,Camera Functioning
45,L-WL14-R12A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,,,,,,,2650.0,32.94244003,104.12947,,10:15,WL-003,,Deciduous Forest,,high,L-WL14-R12A,Camera Functioning
46,L-WL14-S10A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,,,,,,,2970.0,32.96384048,104.13837,,13:18,WL-012,,Coniferous-Deciduous Forest,,high,L-WL14-S10A,Camera Functioning
47,L-WL14-S11A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,,,,,,,2930.0,32.95793915,104.13707,,11:18,WL-013,,Coniferous-Deciduous Forest,,high,L-WL14-S11A,Camera Functioning
48,L-WL14-T14A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,,,,,,,2618.0,32.93091965,104.14964,,10:29,WL-016,,Coniferous-Deciduous Forest,,high,L-WL14-T14A,Camera Functioning
50,L-WL15-H03A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,,,,,,,3107.0,33.02151108,104.02242,,9:40,WL-028,,Coniferous-Deciduous Forest,,high,L-WL15-H03A,Camera Functioning
51,L-WL15-H05A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,,,,,,,2919.0,33.00735855,104.02342,,11:35,WL-013,,Coniferous Forest,,high,L-WL15-H05A,Camera Functioning
52,L-WL15-I06A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,,,,,,,3224.0,32.99592972,104.02845,,14:45,WL-002,,Coniferous-Deciduous Forest,,high,L-WL15-I06A,Camera Functioning
53,L-WL15-J13A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,,,,,,,3030.0,32.93346024,104.04325,,10:05,,,Coniferous Forest,,high,L-WL15-J13A,Camera Functioning
54,L-WL15-J13B,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,,,,,,,2979.0,32.93621826,104.0443,,11:05,WL-018,,Coniferous Forest,,high,L-WL15-J13B,Camera Functioning
55,L-WL15-K09A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,,,,,,,2904.0,32.97325134,104.05781999999999,,10:18,WL-019,,Coniferous-Deciduous Forest,,high,L-WL15-K09A,Camera Functioning
56,L-WL15-K09B,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,,,,,,,3005.0,32.97077179,104.05539,,10:40,WL-025,,,,high,L-WL15-K09B,Camera Functioning
57,L-WL15-L06A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,,,,,,,3232.0,32.99842072,104.06396,,14:46,WL-026,,Coniferous-Deciduous Forest,,high,L-WL15-L06A,Camera Functioning
58,L-WL15-M07A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,,,,,,,2060.0,32.99317932,104.07471,,13:50,WL-004,,Coniferous-Deciduous Forest,,high,L-WL15-M07A,Camera Functioning
59,L-WL15-M11A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,,,,,,,2860.0,32.95151901,104.07334,,10:20,WL-008,,Coniferous-Deciduous Forest,,high,L-WL15-M11A,Camera Functioning
60,L-WL15-N11A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,,,,,,,3065.0,32.94974136,104.08185,,12:52,WL-015,,Coniferous Forest,,high,L-WL15-N11A,Camera Functioning
61,L-WL15-O08A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,,,,,,,2895.0,32.98493958,104.09676,,11:20,WL-020,,Coniferous-Deciduous Forest,,high,L-WL15-O08A,Camera Functioning
62,L-WL15-O10A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,,,,,,,2810.0,32.95978165,104.0966,,13:30,WL-011,,Coniferous-Deciduous Forest,,high,L-WL15-O10A,Camera Functioning
63,L-WL15-P10A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,,,,,,,2800.0,32.96075058,104.10653,,12:55,WL-003,,Coniferous-Deciduous Forest,,high,L-WL15-P10A,Camera Functioning
65,L-WL15-Q09A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,,,,,,,2748.0,32.97502136,104.11650999999999,,16:15,,,Coniferous-Deciduous Forest,,high,L-WL15-Q09A,Camera Functioning
66,L-WL15-R09A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,,,,,,,,32.9739418,104.12926,,11:34,,,Coniferous-Deciduous Forest,,high,L-WL15-R09A,Camera Functioning
68,L-WL15-T11A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,,,,,,,2834.0,32.95674896,104.14867,,12:50,R09,,Coniferous Forest,,high,L-WL15-T11A,Camera Functioning
69,L-WL15-T13A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,,,,,,,2752.0,32.93970871,104.14784,,12:30,WL-010,,Coniferous-Deciduous Forest,,high,L-WL15-T13A,Camera Functioning
70,L-WL15-U11A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,,,,,,,3000.0,32.95119858,104.15739,,14:45,,,Coniferous-Deciduous Forest,,high,L-WL15-U11A,Camera Functioning
71,L-WL15-U13A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,,,,,,,3122.0,32.93930054,104.16478000000001,,15:31,DC-R5,,Coniferous-Deciduous Forest,,high,L-WL15-U13A,Camera Functioning
91,L-WL15-M06A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,,,,,,,3090.0,32.99708176,104.07485,,14:50,新北林,,Coniferous Forest,,high,L-WL15-M06A,Camera Functioning
99,L-WL15-P10B,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,,,,,,,2965.0,32.95917892,104.1081,,14:34,PC-001,,Coniferous Forest,,high,L-WL15-P10B,Camera Functioning
100,L-WL15-Q11A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,,,,,,,2581.0,32.95624924,104.118,,16:11,PC-011,,Deciduous Forest,,high,L-WL15-Q11A,Camera Functioning
106,L-WL15-J19B,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,,,,,,,3062.0,32.88491821,104.04525,,12:49,P-08,,Coniferous Forest,,high,L-WL15-J19B,Camera Functioning
125,L-WL15-Q16A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,,,,,,,,,,,,,,,,high,L-WL15-Q16A,Camera Functioning
134,L-WL15-S12,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,,,,,,,,,,,,,,,,high,L-WL15-S12,Camera Functioning
144,L-WL15-U15A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,,,,,,,2637.0,32.91746902,104.15839,,,WL-010,,Coniferous-Deciduous Forest,,high,L-WL15-U15A,Camera Functioning
174,L-WL16-I18A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,,,,,,,,,,,,,,,,high,L-WL16-I18A1,Camera Functioning
178,L-WL16-J13B,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,,,,,,,3162.0,32.93124008,104.04368000000001,,12:07,,,Coniferous Forest,,high,L-WL16-J13B,Camera Functioning
