,Image.ID,Image.File.Name,File.Suffix,Folder.Name,Camera.ID,Deployment.ID,Date,Time,Work.Days,Number.of.Individuals,Independent.Detections,Comment,Class,Species_ID,Scientific_Name,Sex
16,L-XHG14-AA16A-0016,IMAG0016,AVI,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/10/2014,13:14,5,,,,No Animal,,,
17,L-XHG14-AA16A-0017,IMAG0017,JPG,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/10/2014,13:36,5,1,1,,Mammals,Unknown Squirrel,Unknown Squirrel,
18,L-XHG14-AA16A-0018,IMAG0018,AVI,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/10/2014,13:36,5,1,,,Mammals,Unknown Squirrel,Unknown Squirrel,
19,L-XHG14-AA16A-0019,IMAG0019,JPG,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/10/2014,13:37,5,1,,,Mammals,Unknown Squirrel,Unknown Squirrel,
20,L-XHG14-AA16A-0020,IMAG0020,AVI,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/10/2014,13:37,5,,,,No Animal,,,
21,L-XHG14-AA16A-0021,IMAG0021,JPG,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/12/2014,7:06,7,1,1,,Mammals,Unknown Squirrel,Unknown Squirrel,
22,L-XHG14-AA16A-0022,IMAG0022,AVI,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/12/2014,7:07,7,,,,No Animal,,,
23,L-XHG14-AA16A-0023,IMAG0023,JPG,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/12/2014,11:04,7,1,1,,Mammals,Unknown Squirrel,Unknown Squirrel,
24,L-XHG14-AA16A-0024,IMAG0024,AVI,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/12/2014,11:04,7,,,,No Animal,,,
25,L-XHG14-AA16A-0025,IMAG0025,JPG,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/12/2014,14:25,7,2,1,,Birds,Golden Pheasant,Chrysolophus pictus,2Female
26,L-XHG14-AA16A-0026,IMAG0026,AVI,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/12/2014,14:25,7,2,,,Birds,Golden Pheasant,Chrysolophus pictus,2Female
27,L-XHG14-AA16A-0027,IMAG0027,JPG,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/12/2014,15:49,7,1,1,,Mammals,Unknown Squirrel,Unknown Squirrel,
28,L-XHG14-AA16A-0028,IMAG0028,AVI,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/12/2014,15:49,7,1,,,Mammals,Unknown Squirrel,Unknown Squirrel,
29,L-XHG14-AA16A-0029,IMAG0029,JPG,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/12/2014,22:08,7,,,,No Animal,,,
30,L-XHG14-AA16A-0030,IMAG0030,AVI,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/12/2014,22:08,7,,,,No Animal,,,
31,L-XHG14-AA16A-0031,IMAG0031,JPG,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/13/2014,8:20,8,1,1,,Mammals,Unknown Squirrel,Unknown Squirrel,
32,L-XHG14-AA16A-0032,IMAG0032,AVI,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/13/2014,8:21,8,,,,No Animal,,,
33,L-XHG14-AA16A-0033,IMAG0033,JPG,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/13/2014,8:21,8,1,,,Mammals,Unknown Squirrel,Unknown Squirrel,
34,L-XHG14-AA16A-0034,IMAG0034,AVI,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/13/2014,8:21,8,1,,,Mammals,Unknown Squirrel,Unknown Squirrel,
35,L-XHG14-AA16A-0035,IMAG0035,JPG,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/13/2014,16:00,8,,,,No Animal,,,
36,L-XHG14-AA16A-0036,IMAG0036,AVI,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/13/2014,16:00,8,,,,No Animal,,,
37,L-XHG14-AA16A-0037,IMAG0037,JPG,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/14/2014,11:18,9,1,1,,Mammals,Wild Boar,Sus scrofa,
38,L-XHG14-AA16A-0038,IMAG0038,AVI,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/14/2014,11:18,9,1,,,Mammals,Wild Boar,Sus scrofa,
39,L-XHG14-AA16A-0039,IMAG0039,JPG,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/14/2014,13:18,9,1,1,,Mammals,Unknown Squirrel,Unknown Squirrel,
40,L-XHG14-AA16A-0040,IMAG0040,AVI,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/14/2014,13:18,9,,,,No Animal,,,
41,L-XHG14-AA16A-0041,IMAG0041,JPG,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/14/2014,16:44,9,,,,No Animal,,,
42,L-XHG14-AA16A-0042,IMAG0042,AVI,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/14/2014,16:44,9,,,,No Animal,,,
43,L-XHG14-AA16A-0043,IMAG0043,JPG,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/15/2014,11:59,10,1,1,,Mammals,Unknown Squirrel,Unknown Squirrel,
44,L-XHG14-AA16A-0044,IMAG0044,AVI,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/15/2014,11:59,10,1,,,Mammals,Unknown Squirrel,Unknown Squirrel,
45,L-XHG14-AA16A-0045,IMAG0045,JPG,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/15/2014,11:59,10,2,,,Mammals,Unknown Squirrel,Unknown Squirrel,
46,L-XHG14-AA16A-0046,IMAG0046,AVI,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/15/2014,11:59,10,,,,No Animal,,,
47,L-XHG14-AA16A-0047,IMAG0047,JPG,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/15/2014,12:04,10,1,,,Mammals,Unknown Squirrel,Unknown Squirrel,
48,L-XHG14-AA16A-0048,IMAG0048,AVI,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/15/2014,12:04,10,,,,No Animal,,,
49,L-XHG14-AA16A-0049,IMAG0049,JPG,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/15/2014,13:29,10,1,,,Mammals,Unknown Squirrel,Unknown Squirrel,
50,L-XHG14-AA16A-0050,IMAG0050,AVI,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/15/2014,13:30,10,,,,No Animal,,,
51,L-XHG14-AA16A-0051,IMAG0051,JPG,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/15/2014,22:49,10,,,,No Animal,,,
52,L-XHG14-AA16A-0052,IMAG0052,AVI,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/15/2014,22:49,10,,,,No Animal,,,
53,L-XHG14-AA16A-0053,IMAG0053,JPG,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/16/2014,11:33,11,1,1,,Mammals,Wild Boar,Sus scrofa,
54,L-XHG14-AA16A-0054,IMAG0054,AVI,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/16/2014,11:33,11,2,,,Mammals,Wild Boar,Sus scrofa,
55,L-XHG14-AA16A-0055,IMAG0055,JPG,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/16/2014,11:33,11,,,,No Animal,,,
56,L-XHG14-AA16A-0056,IMAG0056,AVI,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/16/2014,11:33,11,,,,No Animal,,,
57,L-XHG14-AA16A-0057,IMAG0057,JPG,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/16/2014,15:33,11,1,1,,Mammals,Unknown Squirrel,Unknown Squirrel,
58,L-XHG14-AA16A-0058,IMAG0058,AVI,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/16/2014,15:34,11,,,,No Animal,,,
59,L-XHG14-AA16A-0059,IMAG0059,JPG,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/17/2014,7:10,12,,,,No Animal,,,
60,L-XHG14-AA16A-0060,IMAG0060,AVI,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/17/2014,7:10,12,1,1,,Mammals,Unknown Squirrel,Unknown Squirrel,
61,L-XHG14-AA16A-0061,IMAG0061,JPG,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/17/2014,7:11,12,1,,,Mammals,Unknown Squirrel,Unknown Squirrel,
62,L-XHG14-AA16A-0062,IMAG0062,AVI,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/17/2014,7:11,12,,,,No Animal,,,
63,L-XHG14-AA16A-0063,IMAG0063,JPG,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/17/2014,8:37,12,,,,No Animal,,,
64,L-XHG14-AA16A-0064,IMAG0064,AVI,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/17/2014,8:38,12,,,,No Animal,,,
65,L-XHG14-AA16A-0065,IMAG0065,JPG,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/17/2014,11:32,12,1,1,,Mammals,Unknown Squirrel,Unknown Squirrel,
66,L-XHG14-AA16A-0066,IMAG0066,AVI,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/17/2014,11:33,12,1,,,Mammals,Unknown Squirrel,Unknown Squirrel,
67,L-XHG14-AA16A-0067,IMAG0067,JPG,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/17/2014,12:19,12,1,,,Mammals,Unknown Squirrel,Unknown Squirrel,
68,L-XHG14-AA16A-0068,IMAG0068,AVI,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/17/2014,12:19,12,1,,,Mammals,Unknown Squirrel,Unknown Squirrel,
69,L-XHG14-AA16A-0069,IMAG0069,JPG,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/17/2014,12:24,12,1,,,Mammals,Unknown Squirrel,Unknown Squirrel,
70,L-XHG14-AA16A-0070,IMAG0070,AVI,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/17/2014,12:25,12,1,,,Mammals,Unknown Squirrel,Unknown Squirrel,
71,L-XHG14-AA16A-0071,IMAG0071,JPG,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/17/2014,12:26,12,1,,,Mammals,Unknown Squirrel,Unknown Squirrel,
72,L-XHG14-AA16A-0072,IMAG0072,AVI,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/17/2014,12:26,12,,,,No Animal,,,
73,L-XHG14-AA16A-0073,IMAG0073,JPG,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/17/2014,12:29,12,1,1,,Birds,Golden Pheasant,Chrysolophus pictus,Male
74,L-XHG14-AA16A-0074,IMAG0074,AVI,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/17/2014,12:29,12,1,,,Birds,Golden Pheasant,Chrysolophus pictus,Male
75,L-XHG14-AA16A-0075,IMAG0075,JPG,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/17/2014,12:30,12,1,,,Mammals,Unknown Squirrel,Unknown Squirrel,
76,L-XHG14-AA16A-0076,IMAG0076,AVI,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/17/2014,12:30,12,,,,No Animal,,,
77,L-XHG14-AA16A-0077,IMAG0077,JPG,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/17/2014,12:34,12,1,,,Mammals,Unknown Squirrel,Unknown Squirrel,
78,L-XHG14-AA16A-0078,IMAG0078,AVI,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/17/2014,12:34,12,,,,No Animal,,,
79,L-XHG14-AA16A-0079,IMAG0079,JPG,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/17/2014,12:37,12,1,,,Mammals,Unknown Squirrel,Unknown Squirrel,
80,L-XHG14-AA16A-0080,IMAG0080,AVI,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/17/2014,12:38,12,,,,No Animal,,,
81,L-XHG14-AA16A-0081,IMAG0081,JPG,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/17/2014,12:38,12,1,,,Mammals,Unknown Squirrel,Unknown Squirrel,
82,L-XHG14-AA16A-0082,IMAG0082,AVI,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/17/2014,12:39,12,1,,,Mammals,Unknown Squirrel,Unknown Squirrel,
83,L-XHG14-AA16A-0083,IMAG0083,JPG,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/18/2014,16:45,13,,,,No Animal,,,
84,L-XHG14-AA16A-0084,IMAG0084,AVI,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/18/2014,16:45,13,1,1,,Mammals,Chinese Goral,Naemorhedus griseus,
85,L-XHG14-AA16A-0085,IMAG0085,JPG,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/18/2014,16:45,13,1,,,Mammals,Chinese Goral,Naemorhedus griseus,
86,L-XHG14-AA16A-0086,IMAG0086,AVI,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/18/2014,16:46,13,,,,No Animal,,,
87,L-XHG14-AA16A-0087,IMAG0087,JPG,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/18/2014,16:46,13,1,,,Mammals,Chinese Goral,Naemorhedus griseus,
88,L-XHG14-AA16A-0088,IMAG0088,AVI,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/18/2014,16:46,13,1,,,Mammals,Chinese Goral,Naemorhedus griseus,
89,L-XHG14-AA16A-0089,IMAG0089,JPG,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/18/2014,17:54,13,,,,No Animal,,,
90,L-XHG14-AA16A-0090,IMAG0090,AVI,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/18/2014,17:55,13,,,,No Animal,,,
91,L-XHG14-AA16A-0091,IMAG0091,JPG,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/18/2014,18:18,13,1,1,,Mammals,Unknown Squirrel,Unknown Squirrel,
92,L-XHG14-AA16A-0092,IMAG0092,AVI,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/18/2014,18:19,13,,,,No Animal,,,
93,L-XHG14-AA16A-0093,IMAG0093,JPG,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/19/2014,17:51,14,1,1,,Mammals,Leopard Cat,Prionailurus bengalensis,
94,L-XHG14-AA16A-0094,IMAG0094,AVI,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/19/2014,17:51,14,1,,,Mammals,Leopard Cat,Prionailurus bengalensis,
95,L-XHG14-AA16A-0095,IMAG0095,JPG,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/21/2014,10:01,16,,,,No Animal,,,
96,L-XHG14-AA16A-0096,IMAG0096,AVI,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/21/2014,10:01,16,,,,No Animal,,,
97,L-XHG14-AA16A-0097,IMAG0097,JPG,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/21/2014,13:26,16,,,,No Animal,,,
98,L-XHG14-AA16A-0098,IMAG0098,AVI,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/21/2014,13:27,16,,,,No Animal,,,
99,L-XHG14-AA16A-0099,IMAG0099,JPG,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/21/2014,14:21,16,1,1,,Mammals,Unknown Squirrel,Unknown Squirrel,
100,L-XHG14-AA16A-0100,IMAG0100,AVI,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/21/2014,14:21,16,,,,No Animal,,,
101,L-XHG14-AA16A-0101,IMAG0101,JPG,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/23/2014,7:55,18,1,1,,Mammals,Wild Boar,Sus scrofa,
102,L-XHG14-AA16A-0102,IMAG0102,AVI,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/23/2014,7:55,18,,,,No Animal,,,
103,L-XHG14-AA16A-0103,IMAG0103,JPG,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/23/2014,8:33,18,1,1,,Mammals,Wild Boar,Sus scrofa,
104,L-XHG14-AA16A-0104,IMAG0104,AVI,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/23/2014,8:34,18,1,,,Mammals,Wild Boar,Sus scrofa,
105,L-XHG14-AA16A-0105,IMAG0105,JPG,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/23/2014,8:34,18,2,,,Mammals,Wild Boar,Sus scrofa,
106,L-XHG14-AA16A-0106,IMAG0106,AVI,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/23/2014,8:34,18,1,,,Mammals,Wild Boar,Sus scrofa,
107,L-XHG14-AA16A-0107,IMAG0107,JPG,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/23/2014,8:35,18,,,,No Animal,,,
108,L-XHG14-AA16A-0108,IMAG0108,AVI,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/23/2014,8:35,18,,,,No Animal,,,
109,L-XHG14-AA16A-0109,IMAG0109,JPG,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/23/2014,10:38,18,1,1,,Mammals,Unknown Squirrel,Unknown Squirrel,
110,L-XHG14-AA16A-0110,IMAG0110,AVI,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/23/2014,10:38,18,1,,,Mammals,Unknown Squirrel,Unknown Squirrel,
111,L-XHG14-AA16A-0111,IMAG0111,JPG,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/23/2014,14:37,18,1,1,,Mammals,Unknown Squirrel,Unknown Squirrel,
112,L-XHG14-AA16A-0112,IMAG0112,AVI,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/23/2014,14:37,18,,,,No Animal,,,
113,L-XHG14-AA16A-0113,IMAG0113,JPG,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/23/2014,16:13,18,1,1,,Birds,Golden Pheasant,Chrysolophus pictus,Female
114,L-XHG14-AA16A-0114,IMAG0114,AVI,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/23/2014,16:13,18,1,,,Birds,Golden Pheasant,Chrysolophus pictus,Female
115,L-XHG14-AA16A-0115,IMAG0115,JPG,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/24/2014,15:38,19,1,1,,Mammals,Unknown Squirrel,Unknown Squirrel,
116,L-XHG14-AA16A-0116,IMAG0116,AVI,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/24/2014,15:38,19,,,,No Animal,,,
117,L-XHG14-AA16A-0117,IMAG0117,JPG,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/25/2014,7:54,20,,,,No Animal,,,
118,L-XHG14-AA16A-0118,IMAG0118,AVI,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/25/2014,7:55,20,,,,No Animal,,,
119,L-XHG14-AA16A-0119,IMAG0119,JPG,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/25/2014,8:47,20,1,1,,Mammals,Unknown Squirrel,Unknown Squirrel,
120,L-XHG14-AA16A-0120,IMAG0120,AVI,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/25/2014,8:47,20,,,,No Animal,,,
121,L-XHG14-AA16A-0121,IMAG0121,JPG,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/25/2014,16:19,20,,,,No Animal,,,
122,L-XHG14-AA16A-0122,IMAG0122,AVI,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/25/2014,16:20,20,,,,No Animal,,,
123,L-XHG14-AA16A-0123,IMAG0123,JPG,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/26/2014,3:30,21,1,1,,Mammals,Unknown Squirrel,Unknown Squirrel,
124,L-XHG14-AA16A-0124,IMAG0124,AVI,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/26/2014,3:30,21,,,,No Animal,,,
125,L-XHG14-AA16A-0125,IMAG0125,JPG,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/26/2014,3:31,21,1,,,Mammals,Unknown Squirrel,Unknown Squirrel,
126,L-XHG14-AA16A-0126,IMAG0126,AVI,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/26/2014,3:31,21,,,,No Animal,,,
127,L-XHG14-AA16A-0127,IMAG0127,JPG,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/26/2014,3:38,21,1,,,Mammals,Unknown Squirrel,Unknown Squirrel,
128,L-XHG14-AA16A-0128,IMAG0128,AVI,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/26/2014,3:39,21,,,,No Animal,,,
129,L-XHG14-AA16A-0129,IMAG0129,JPG,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/26/2014,10:37,21,1,1,,Mammals,Unknown Squirrel,Unknown Squirrel,
130,L-XHG14-AA16A-0130,IMAG0130,AVI,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/26/2014,10:37,21,,,,No Animal,,,
131,L-XHG14-AA16A-0131,IMAG0131,JPG,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/27/2014,17:28,22,,,,No Animal,,,
132,L-XHG14-AA16A-0132,IMAG0132,AVI,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/27/2014,17:29,22,,,,No Animal,,,
133,L-XHG14-AA16A-0133,IMAG0133,JPG,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/27/2014,21:59,22,,,强曝光,No Animal,,,
134,L-XHG14-AA16A-0134,IMAG0134,AVI,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/27/2014,21:59,22,,,,No Animal,,,
135,L-XHG14-AA16A-0135,IMAG0135,JPG,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/29/2014,1:51,24,1,1,,Mammals,Leopard Cat,Prionailurus bengalensis,
136,L-XHG14-AA16A-0136,IMAG0136,AVI,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/29/2014,1:51,24,,,,No Animal,,,
137,L-XHG14-AA16A-0137,IMAG0137,JPG,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/29/2014,9:53,24,1,1,,Mammals,Unknown Squirrel,Unknown Squirrel,
138,L-XHG14-AA16A-0138,IMAG0138,AVI,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/29/2014,9:53,24,,,,No Animal,,,
139,L-XHG14-AA16A-0139,IMAG0139,JPG,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/29/2014,11:59,24,1,1,,Mammals,Unknown Squirrel,Unknown Squirrel,
140,L-XHG14-AA16A-0140,IMAG0140,AVI,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/29/2014,12:00,24,1,,,Mammals,Unknown Squirrel,Unknown Squirrel,
141,L-XHG14-AA16A-0141,IMAG0141,JPG,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,10/1/2014,4:40,26,1,1,,Mammals,Unknown Squirrel,Unknown Squirrel,
142,L-XHG14-AA16A-0142,IMAG0142,AVI,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,10/1/2014,4:40,26,,,,No Animal,,,
143,L-XHG14-AA16A-0143,IMAG0143,JPG,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,10/1/2014,5:04,26,1,1,,Mammals,Unknown Squirrel,Unknown Squirrel,
144,L-XHG14-AA16A-0144,IMAG0144,AVI,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,10/1/2014,5:05,26,,,,No Animal,,,
145,L-XHG14-AA16A-0145,IMAG0145,JPG,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,10/1/2014,5:39,26,,,,No Animal,,,
146,L-XHG14-AA16A-0146,IMAG0146,AVI,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,10/1/2014,5:40,26,1,1,,Mammals,Asiatic Black Bear,Ursus thibetanus,
147,L-XHG14-AA16A-0147,IMAG0147,JPG,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,10/1/2014,6:01,26,,,,No Animal,,,
