Camera Deployment ID,Elevation,Latitude,Longitude,Camera Deployment Begin Date,Camera Deployment Begin Time,Camera ID,Vegetation Type,Quiet Period Setting,Sensitivity Setting
L-XHG15-K10A,2600,32.64028168,104.35891,3/24/2015,14:58,,Coniferous-Deciduous Forest,,
L-XHG15-K12A,2155,32.62485123,104.254666,3/24/2015,14:16,,Broad-leaf Mixed Forest,,
L-XHG15-L12A,2300,32.6203804,104.272369,3/24/2015,15:10,XY24,Broad-leaf Mixed Forest,,
L-XHG15-M18A,1830,32.56472015,104.28423,3/27/2015,12:10,,Broad-leaf Mixed Forest,,
L-XHG15-N11A,2371,32.62641907,104.28946,3/24/2015,15:12,,Deciduous Forest,,
L-XHG15-N18A,2010,32.56977463,104.289532,3/27/2015,12:10,,Broad-leaf Mixed Forest,,
L-XHG15-N18B,1910,32.56373978,104.28745,3/27/2015,13:22,,Broad-leaf Mixed Forest,,
L-XHG15-O10A,2576,32.63718033,104.29802,3/25/2015,13:46,,Coniferous-Deciduous Forest,,
L-XHG15-O11A,2422,32.63275909,104.29737,3/25/2015,12:16,,Coniferous-Deciduous Forest,,
L-XHG15-O12A,2440,32.62010193,104.297048,3/25/2015,12:40,,Broad-leaf Mixed Forest,,
L-XHG15-Q20A,2251,32.55113983,104.327435,3/27/2015,12:56,,Coniferous Forest,,
L-XHG15-R10A,3157,32.64141846,104.3355,6/14/2015,17:30,,Coniferous Forest,,
L-XHG15-R11A,3041,32.63034821,104.3366,6/15/2015,09:42,,Coniferous-Deciduous Forest,,
L-XHG15-R12A,2913,32.62163925,104.33558,6/14/2015,15:21,,Coniferous-Deciduous Forest,,
L-XHG15-R12B,2960,32.6247406,104.3336,6/15/2015,10:30,,Coniferous-Deciduous Forest,,
L-XHG15-R19A,,32.55366135,104.330728,3/27/2015,13:50,,Coniferous Forest,,
L-XHG15-S13A,2799,32.61507034,104.34442,6/14/2015,13:50,,Coniferous-Deciduous Forest,,
L-XHG15-S13B,2806,32.61442184,104.3409,6/14/2015,15:06,,Coniferous-Deciduous Forest,,
L-XHG15-S14A,2721,32.60428238,104.348916,6/13/2015,16:20,,Coniferous-Deciduous Forest,,
L-XHG15-T13A,2684,32.61151123,104.35089,6/13/2015,13:04,,Coniferous-Deciduous Forest,,
L-XHG15-T14A,2660,32.60564041,104.35278,6/13/2015,15:00,,Coniferous-Deciduous Forest,,
L-XHG15-T14C,2580,32.60490036,104.3551,6/15/2015,12:40,,Coniferous-Deciduous Forest,,
L-XHG15-U14A,2440,32.60042191,104.36725,1/6/2015,12:30,,Coniferous-Deciduous Forest,,
L-XHG15-U14B,2608,32.60659027,104.36452,6/14/2015,06:26,,Deciduous Forest,,
L-XHG15-U14C,2639,32.60591888,104.36926,6/15/2015,14:00,,Coniferous-Deciduous Forest,,
L-XHG15-U17A,2320,32.57614136,104.369046,7/28/2015,11:16,,Coniferous-Deciduous Forest,,
L-XHG15-V15A,2212,32.59486771,104.373099,6/16/2015,14:23,,Coniferous-Deciduous Forest,,
L-XHG15-V15B,2233,32.59582901,104.37768,6/15/2015,13:32,,Coniferous-Deciduous Forest,,
L-XHG15-V15C,2120,32.59331894,104.3782,6/16/2015,09:00,,Coniferous-Deciduous Forest,,
L-XHG15-V17A,2213,32.5794487,104.381227,7/29/2015,11:40,,Deciduous Forest,,
L-XHG15-V17B,2241,32.57673264,104.374168,7/28/2015,11:44,,Coniferous-Deciduous Forest,,
L-XHG15-V18A,2187,32.57189178,104.37875,7/29/2015,10:51,,Deciduous Forest,,
L-XHG15-W14A,2032,32.60327148,104.38871,1/6/2015,12:20,,Coniferous-Deciduous Forest,,
L-XHG15-W15A,2030,32.59880829,104.38467,1/6/2015,14:30,,Coniferous-Deciduous Forest,,
L-XHG15-X11A,2261,32.62720871,104.39523,1/6/2015,13:00,,Coniferous-Deciduous Forest,,
L-XHG15-X12A,2160,32.61983109,104.40025,1/6/2015,12:03,,Evergreen Forest,,
L-XHG15-X13A,2075,32.61257935,104.401826,7/28/2015,13:45,,Deciduous Forest,,
L-XHG15-X14B,2120,32.60113907,104.39615,7/28/2015,14:00,,Coniferous-Deciduous Forest,,
L-XHG15-X15A,1980,32.59856033,104.39436,1/5/2015,10:34,,Coniferous-Deciduous Forest,,
L-XHG15-X17A,1956,32.57614899,104.39357,1/5/2015,12:50,,Deciduous Forest,,
L-XHG15-X17B,2032,32.57593918,104.39828,1/5/2015,14:15,,Broad-leaf Mixed Forest,,
L-XHG15-Y13A,2236,32.61683273,104.406334,7/28/2015,17:30,,Deciduous Forest,,
L-XHG15-Y13B,2130,32.61424255,104.404506,7/28/2015,12:10,,Deciduous Forest,,
L-XHG15-Y16A,1823,32.58763885,104.40946,1/6/2015,14:20,,Coniferous-Deciduous Forest,,
L-XHG15-Y17A,1910,32.57331848,104.40393,5/9/2015,12:03,,Deciduous Forest,,
L-XHG15-Z24A,1678,32.51589966,104.41546,3/27/2015,11:30,,Broad-leaf Mixed Forest,,
L-XHG15-Z24B,1639,32.51448059,104.41509,3/27/2015,12:45,,Broad-leaf Mixed Forest,,
