Camera Deployment ID,Elevation,Latitude,Longitude,Camera Deployment Begin Date,Camera Deployment Begin Time,Camera ID,Vegetation Type,Quiet Period Setting,Sensitivity Setting
L-WWL15-L48A,3327,30.90172958,102.97082,5/27/2015,10:55,47,Coniferous-Deciduous Forest,,High
L-WWL15-L48B,3414,30.8998909,102.98016,5/27/2015,9:51,46,Coniferous-Deciduous Forest,,High
L-WWL15-L54A,2887,30.84977913,102.97426,8/28/2015,13:55,01,Coniferous-Deciduous Forest,,High
L-WWL15-P55A,3565,30.84347916,103.0188,5/30/2015,15:39,44,Shrub,,High
L-WWL15-Q53B,3847,30.85647964,103.02683,6/21/2015,16:19,41,Shrub,,High
L-WWL15-Q53C,3945,30.85590935,103.02439,6/22/2015,10:33,43,Shrub,,High
L-WWL15-Q55A,3835,30.84353065,103.03046,5/29/2015,17:53,45,Shrub,,High
L-WWL15-R53A,4254,30.85483932,103.03994,5/30/2015,10:31,6,Shrub,,High
L-WWL15-R56A,4306,30.8320694,103.03743,5/29/2015,11:27,5,Bare Rock,,High
L-WWL15-R56B,4324,30.83124924,103.03672,5/29/2015,11:45,4,Bare Rock,,High
L-WWL15-R56C,4345,30.83106041,103.03661,5/29/2015,13:41,46,Bare Rock,,High
L-WWL15-U42A,2501,30.95323944,103.07175,3/31/2015,11:00:00,,Coniferous-Deciduous Forest,,High
L-WWL15-U44A,2456,30.94083977,103.06798,3/10/2015,11:20:00,,Coniferous-Deciduous Forest,,High
L-WWL15-V42A,2723,30.95754051,103.07911,3/31/2015,12:34:00,,Coniferous-Deciduous Forest,,High
L-WWL15-W41A,2836,30.9623909,103.08468,4/1/2015,15:13:00,,Coniferous-Deciduous Forest,,High
L-WWL15-W42A,2784,30.96141052,103.08466,4/1/2015,13:45:00,,Coniferous Forest,,High
L-WWL15-X41A,2380,30.96471977,103.09698,3/31/2015,13:27:00,,Deciduous Forest,,High
L-WWL15-X41B,2459,30.96519089,103.09539,4/2/2015,15:13:00,,Deciduous Forest,,High
L-WWL15-Y39A,2758,30.98600006,103.10928,3/10/2015,12:49:00,,Coniferous-Deciduous Forest,,High
L-WWL15-Y42A,2877,30.95708084,103.11095,3/10/2015,13:35:00,,Coniferous-Deciduous Forest,,High
L-WWL15-Y42B,2930,30.95688057,103.11183,3/10/2015,14:16:00,,Coniferous-Deciduous Forest,,High
L-WWL15-Z42A,2720,30.95879936,103.12295,3/10/2015,14:20:00,,Coniferous-Deciduous Forest,,High
L-WWL15-Z42B,2820,30.95763016,103.12071,3/10/2015,14:20:00,,Coniferous-Deciduous Forest,,High
L-WWL16-AP21C,2438,31.14847946,103.28433,4/18/2016,11:23,02,Coniferous-Deciduous Forest,,High
L-WWL16-AQ21A,2579,31.15011024,103.29533,4/18/2016,12:35,035,Coniferous-Deciduous Forest,,High
L-WWL16-AQ32A,2076,31.05183029,103.2981,1/5/2016,,,,,High
L-WWL16-AR22A,1935,31.14076996,103.30643,4/18/2016,9:55,14,Deciduous Forest,,High
L-WWL16-AR32A,2135,31.05536079,103.30364,1/5/2016,,,,,High
L-WWL16-AS20A,2646,31.16160011,103.3202,4/18/2016,13:32,10,Coniferous-Deciduous Forest,,High
L-WWL16-AS21A,2099,31.15081024,103.31773,4/18/2016,10:40,37,Deciduous Forest,,High
L-WWL16-AS22A,2443,31.13822937,103.31342,4/18/2016,10:40,17,Deciduous Forest,,High
L-WWL16-AT20A,2225,31.15600014,103.32423,4/18/2016,12:30,19,Coniferous-Deciduous Forest,,High
L-WWL16-AT21A,2486,31.15382004,103.32682,4/18/2016,11:20,39,Coniferous-Deciduous Forest,,High
L-WWL16-AU20A,3011,31.15782928,103.34068,4/12/2016,12:03,22,Coniferous-Deciduous Forest,,High
L-WWL16-AU21A,2682,31.14973068,103.34072,4/12/2016,10:55,15,Coniferous-Deciduous Forest,,High
L-WWL16-AV20A,2781,31.15592957,103.35168,4/12/2016,12:03,18,Coniferous-Deciduous Forest,,High
L-WWL16-AV21A,2548,31.14977074,103.34484,4/12/2016,10;12,32,Coniferous-Deciduous Forest,,High
L-WWL16-AV22A,2697,31.13884926,103.34896,4/12/2016,11:12,,Coniferous-Deciduous Forest,,High
L-WWL16-AW21A,2835,31.15032959,103.35844,4/12/2016,14:21,45,Coniferous-Deciduous Forest,,High
L-WWL16-O53A,2960,30.86097908,103.00766,5/3/2016,11:45,12,Coniferous-Deciduous Forest,,High
L-WWL16-P54A,3823,30.84531975,103.01973,5/17/2016,14:33,01,Coniferous-Deciduous Forest,,High
L-WWL16-P54B,3635,30.84592056,103.02048,5/17/2016,16:29,11,Coniferous-Deciduous Forest,,High
L-WWL16-P55B,3298,30.84196091,103.01598,5/3/2016,10:55,30,Coniferous-Deciduous Forest,,High
L-WWL16-P55C,3566,30.84246063,103.02108,5/3/2016,12:31,27,Coniferous-Deciduous Forest,,High
